age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
37,M,City,No Membership,2016-02-27,No,Gift Vouchers/Coupons,Both,Mobile_Data,00:21:20,24.0,376.8418329764312,27850.85,19.0,686.29,No,Yes,Yes,No Information Available,Poor Customer Service,5.0
57,M,Town,No Membership,2015-11-11,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,16:07:04,14.0,126.34,30329.29,8.0,503.06,No,Yes,No,Not Applicable,Poor Customer Service,5.0
13,F,Town,Platinum Membership,2016-02-03,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,15:56:27,11.0,133.95,38603.09,18.0,1020.6170654953728,No,Yes,Yes,Solved in Follow-up,Reasonable Price,1.0
60,F,Town,Platinum Membership,2017-11-27,No,Credit/Debit Card Offers,Desktop,Mobile_Data,16:08:44,16.0,48.06,22763.03,13.0,744.0,No,Yes,Yes,Solved,No reason specified,3.0
43,F,City,Platinum Membership,2016-05-04,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,16:51:38,14.0,230.57542564049993,25282.02,8.0,762.33,No,Yes,No,Not Applicable,Too many ads,3.0
54,M,City,Gold Membership,2016-08-17,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,02:54:54,12.0,245.99,8547.57,15.0,710.93,Yes,No,Yes,Unsolved,Poor Customer Service,3.0
64,F,City,Platinum Membership,2016-12-11,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,06:17:05,11.0,712.68,6222.87,8.0,826.7802272749711,Yes,Yes,No,Not Applicable,Quality Customer Care,2.0
21,F,Town,Silver Membership,2017-05-24,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:54:50,8.0,110.25,37944.96,19.0,1083.967980414048,No,Yes,No,Not Applicable,Too many ads,4.0
48,M,City,Silver Membership,2017-06-06,No,Credit/Debit Card Offers,Desktop,Mobile_Data,04:01:05,9.0,254.7,25901.23,8.0,657.7,Yes,No,Yes,Unsolved,Poor Website,4.0
24,F,Town,No Membership,2017-09-29,No,Credit/Debit Card Offers,Both,Wi-Fi,13:55:01,6.0,464.22,46882.09,15.0,698.54,No,Yes,No,Not Applicable,Poor Product Quality,5.0
16,F,City,Platinum Membership,2015-02-13,No,Without Offers,Desktop,Fiber_Optic,00:36:16,6.0,52.73,9987.62,15.0,709.65,No,Yes,No,Not Applicable,No reason specified,3.0
44,M,Town,Gold Membership,2016-09-18,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,23:45:00,14.0,78.32,85018.63,8.0,766.11,No,Yes,Yes,Solved,Reasonable Price,1.0
41,M,Village,No Membership,2016-07-08,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,09:49:56,12.0,407.79,42853.51,0.23041232927742428,677.47,Yes,No,Yes,Solved,Poor Product Quality,4.0
25,M,City,No Membership,2016-05-04,Yes,Without Offers,Desktop,Wi-Fi,02:38:56,16.0,32.96,19647.58,16.0,1041.2416305540337,Yes,No,Yes,No Information Available,Too many ads,4.0
18,F,City,No Membership,2017-07-26,No,Without Offers,Smartphone,Fiber_Optic,08:48:38,16.0,30.74,36841.48,13.0,631.72,No,Yes,Yes,Unsolved,Poor Website,5.0
17,F,Town,No Membership,2017-12-02,Yes,Without Offers,Smartphone,Fiber_Optic,05:33:46,14.0,33.89,36554.87,18.0,719.17,Yes,No,No,Not Applicable,Poor Website,4.0
41,M,City,Gold Membership,2017-12-12,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,16:12:19,7.0,142.57,17657.7,6.0,660.78,Yes,No,No,Not Applicable,Poor Website,4.0
45,F,City,Silver Membership,2016-05-01,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:00:47,3.0,573.34,34158.96,17.324530027468345,752.84,Yes,No,No,Not Applicable,No reason specified,3.0
20,M,City,Basic Membership,2016-02-15,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,01:33:14,4.0,109.9,28532.91,28.39730232134528,616.6145532383852,No,Yes,Yes,Solved,Too many ads,5.0
14,F,City,Silver Membership,2016-11-05,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21:02:22,22.0,204.1092842634101,41485.78,15.0,714.2381860507645,No,Yes,No,Not Applicable,Poor Product Quality,3.0
25,F,City,Premium Membership,2016-10-25,Yes,Without Offers,Smartphone,Fiber_Optic,18:20:24,4.0,288.4556437437771,40516.47,12.0,707.71,No,Yes,Yes,Solved in Follow-up,Poor Website,3.0
18,F,Town,Silver Membership,2017-08-26,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,19:50:47,15.0,259.14251154370476,29709.57,18.0,698.14,Yes,No,No,Not Applicable,Poor Customer Service,4.0
29,F,City,Platinum Membership,2015-05-21,No,Credit/Debit Card Offers,Desktop,Wi-Fi,20:09:01,17.0,233.59,40611.66,11.0,736.18,Yes,No,Yes,No Information Available,Quality Customer Care,2.0
44,M,City,No Membership,2015-07-16,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,15:12:37,23.0,456.32,40778.12,17.729906003012264,584.2,Yes,Yes,Yes,Solved,Poor Website,5.0
12,F,Town,Silver Membership,2017-03-29,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,20:13:00,7.0,217.41,31597.6,17.0,667.08,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,4.0
47,F,Village,No Membership,2015-12-22,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,02:15:18,9.0,244.42,10525.66,13.0,570.55,No,Yes,Yes,Solved,No reason specified,5.0
14,F,Town,Platinum Membership,2017-02-18,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,12:24:14,13.0,59.1,29674.44,16.0,522.0884017891938,Yes,No,Yes,Solved,Poor Website,3.0
44,M,Village,Gold Membership,2017-01-04,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,16:22:17,18.0,236.33,34632.76,17.0,668.64,Yes,Yes,Yes,Unsolved,Too many ads,4.0
43,M,City,Basic Membership,2016-06-25,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:11:55,16.0,30.85,36030.47,7.0,661.17,No,Yes,Yes,No Information Available,Too many ads,4.0
59,F,City,Silver Membership,2017-09-03,Yes,Without Offers,Smartphone,Mobile_Data,01:41:37,7.0,104.76,31505.78,38.171638711704205,709.9597931935203,No,Yes,No,Not Applicable,No reason specified,3.0
35,M,City,Gold Membership,2016-12-27,Yes,Without Offers,Desktop,Wi-Fi,17:08:36,13.0,32.13,7951.46,13.0,622.08,No,Yes,Yes,Solved,Poor Product Quality,4.0
13,F,City,Basic Membership,2016-12-26,Yes,Credit/Debit Card Offers,Desktop,Fiber_Optic,02:48:59,7.0,146.77,1941.17,24.0,604.8779503262938,Yes,No,Yes,Unsolved,Poor Website,5.0
35,F,Town,Gold Membership,2015-06-21,No,Without Offers,Desktop,Mobile_Data,19:26:31,16.0,33.9,32136.73,5.0,667.76,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,4.0
22,M,Town,No Membership,2017-11-22,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,13:42:50,20.0,218.5101999509559,17560.23,17.40663294451203,615.8885914211667,No,Yes,No,Not Applicable,Poor Website,5.0
32,F,City,Basic Membership,2016-02-03,Yes,Without Offers,Smartphone,Mobile_Data,05:31:15,23.0,125.84,5263.28,19.0,620.57,No,Yes,Yes,Unsolved,No reason specified,5.0
23,M,Town,Basic Membership,2016-12-12,No,Credit/Debit Card Offers,Both,Wi-Fi,05:17:30,18.0,376.94,42869.98,15.0,639.31,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,5.0
62,M,Town,Gold Membership,2015-07-04,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:28:07,15.0,65.95,6364.53,17.0,639.21,Yes,No,Yes,No Information Available,No reason specified,4.0
15,F,Village,Basic Membership,2017-12-08,No,Without Offers,Smartphone,Wi-Fi,00:16:47,15.0,30.84,35869.4,10.0,580.86,Yes,No,Yes,Solved,Too many ads,5.0
55,M,Town,Gold Membership,2017-07-19,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,08:52:45,21.0,33.95,38402.11,14.0,705.76,No,Yes,No,Not Applicable,No reason specified,3.0
12,M,City,Premium Membership,2017-07-12,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,11:55:18,19.0,136.62,90612.6,6.0,780.93,No,Yes,No,Not Applicable,User Friendly Website,1.0
13,F,Town,Platinum Membership,2015-09-25,Yes,Without Offers,Desktop,Mobile_Data,19:39:35,23.0,152.06,937.98,5.0,767.81,No,Yes,Yes,Unsolved,No reason specified,3.0
32,F,Town,Basic Membership,2017-07-06,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:23:36,15.0,90.32,20338.56,17.306377517410397,302.00591332958567,Yes,No,Yes,Solved,Poor Customer Service,4.0
20,F,City,No Membership,2015-04-13,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,06:28:40,7.0,83.17,32822.77,10.0,660.91,Yes,No,No,Not Applicable,No reason specified,4.0
58,F,City,Silver Membership,2015-02-17,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,14:28:36,14.0,154.78,8805.45,21.0,650.66,No,Yes,No,Not Applicable,Too many ads,4.0
26,F,Town,Gold Membership,2017-01-02,Yes,Credit/Debit Card Offers,Both,Wi-Fi,16:39:52,6.0,209.52,39055.79,25.0,752.87,No,Yes,Yes,No Information Available,Too many ads,3.0
42,F,City,Platinum Membership,2016-09-09,No,Without Offers,Smartphone,Wi-Fi,10:54:26,7.0,299.77,26899.54,18.0,796.98,Yes,Yes,Yes,Unsolved,Poor Customer Service,3.0
26,F,Village,Gold Membership,2016-11-24,Yes,Without Offers,Smartphone,Wi-Fi,06:08:40,11.0,571.75,30023.56,17.068667276326803,665.0,Yes,Yes,No,Not Applicable,Poor Product Quality,4.0
35,M,Town,No Membership,2015-02-08,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,08:20:40,16.0,173.14,6662.21,18.0,587.18,No,Yes,Yes,Solved in Follow-up,Poor Website,5.0
11,F,Village,Basic Membership,2016-10-19,No,Without Offers,Desktop,Wi-Fi,09:39:08,10.0,245.4502670855725,27822.88,5.0,256.33800174170625,Yes,No,No,Not Applicable,Poor Website,4.0
11,M,Village,Basic Membership,2017-03-26,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:35:07,12.0,781.57,14841.91,13.0,659.81,Yes,No,No,Not Applicable,Poor Customer Service,4.0
29,M,City,Silver Membership,2016-07-12,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,17:47:47,6.0,133.21,21108.89,21.0,608.45,No,Yes,No,Not Applicable,Poor Customer Service,4.0
49,M,Town,No Membership,2016-12-22,Yes,Credit/Debit Card Offers,Desktop,Mobile_Data,17:47:32,17.0,293.36,7058.85,35.59862156418304,669.27,Yes,No,No,Not Applicable,No reason specified,5.0
53,F,Town,Silver Membership,2015-12-14,No,Without Offers,Smartphone,Mobile_Data,06:40:45,16.0,153.21,16870.76,12.0,626.78,Yes,No,Yes,Solved,Poor Product Quality,4.0
41,M,Town,Premium Membership,2015-10-21,No,Gift Vouchers/Coupons,Both,Mobile_Data,22:20:47,14.0,290.49,10567.8,12.0,416.30907550877447,Yes,No,Yes,No Information Available,Poor Website,3.0
11,F,Town,Basic Membership,2016-10-15,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,12:13:12,24.0,31.17,12787.46,9.0,608.1391884462975,Yes,No,Yes,No Information Available,Too many ads,4.0
13,F,Town,Premium Membership,2015-07-17,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:49:24,6.0,2092.918646139732,74742.57,19.0,752.93,Yes,No,Yes,Solved in Follow-up,User Friendly Website,1.0
41,M,Town,Platinum Membership,2015-12-28,Yes,Credit/Debit Card Offers,Both,Wi-Fi,15:57:27,13.0,679.76,6467.74,17.0,703.22,Yes,Yes,Yes,No Information Available,No reason specified,3.0
43,F,City,Basic Membership,2017-02-17,No,Without Offers,Smartphone,Wi-Fi,21:54:50,6.0,32.7,20647.26,12.0,624.45,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,4.0
22,F,Town,Basic Membership,2015-09-08,Yes,Without Offers,Smartphone,Mobile_Data,19:36:57,18.0,109.85,27991.19,16.949747886630547,664.24,No,Yes,No,Not Applicable,Poor Product Quality,4.0
16,M,City,Silver Membership,2017-11-06,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,06:48:52,9.0,355.31,20457.22,5.0,1233.7697272353937,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,3.0
10,F,Town,Basic Membership,2017-03-30,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18:09:52,6.0,118.91,4603.95,5.0,557.93,No,Yes,No,Not Applicable,Too many ads,5.0
13,M,Town,Gold Membership,2015-07-10,No,Without Offers,Desktop,Wi-Fi,23:19:44,11.0,127.01,39377.19,13.0,710.9658141504988,No,Yes,No,Not Applicable,Poor Website,4.0
14,F,City,Gold Membership,2015-05-26,Yes,Credit/Debit Card Offers,Both,Wi-Fi,18:52:12,10.0,648.26,96871.71,13.017939917260698,832.9,No,Yes,Yes,No Information Available,Products always in Stock,1.0
54,F,Town,Silver Membership,2016-11-30,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,04:16:43,15.0,243.17,25832.12,25.0,784.44,Yes,No,No,Not Applicable,Poor Customer Service,3.0
45,M,Village,Basic Membership,2016-03-31,Yes,Without Offers,Smartphone,Mobile_Data,18:10:07,17.0,536.17,23174.41,14.0,673.51,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,5.0
47,M,City,Basic Membership,2017-06-16,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,05:04:28,21.0,106.22,47318.29,21.0,625.1,No,Yes,Yes,No Information Available,No reason specified,5.0
30,F,Town,No Membership,2015-10-17,Yes,Without Offers,Desktop,Mobile_Data,07:16:30,9.0,587.91,2859.61,21.0,653.29,Yes,Yes,Yes,Solved,Poor Customer Service,5.0
51,M,City,Platinum Membership,2017-03-22,No,Without Offers,Desktop,Wi-Fi,01:30:02,14.0,301.33,7937.68,14.0,743.72,No,Yes,Yes,No Information Available,Poor Website,3.0
37,F,City,Basic Membership,2017-10-28,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,15:22:51,14.0,31.51,19559.22,17.0,634.59,Yes,No,No,Not Applicable,Poor Product Quality,5.0
38,F,Town,Basic Membership,2015-04-28,No,Without Offers,Both,Mobile_Data,13:41:17,12.0,449.9,35557.85,24.0,636.23,Yes,Yes,No,Not Applicable,No reason specified,5.0
60,F,City,Silver Membership,2015-10-19,Yes,Without Offers,Desktop,Fiber_Optic,20:04:25,16.0,41.09,31586.95,12.0,654.33,No,Yes,Yes,No Information Available,No reason specified,4.0
13,F,Village,Platinum Membership,2016-11-17,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22:07:31,15.0,46.97,29996.99,3.0,819.98,No,Yes,Yes,No Information Available,Reasonable Price,1.0
57,F,City,Basic Membership,2015-01-26,Yes,Without Offers,Smartphone,Mobile_Data,05:12:26,13.0,54.46,29529.34,9.0,711.12,No,Yes,No,Not Applicable,Poor Product Quality,4.0
53,M,City,Basic Membership,2017-07-25,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,05:17:36,9.0,583.68,32161.02,15.0,570.27,Yes,Yes,Yes,Unsolved,Too many ads,5.0
18,F,Village,Premium Membership,2016-02-08,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,14:47:03,18.0,131.81,39010.16,17.0,817.93,No,Yes,No,Not Applicable,User Friendly Website,1.0
10,F,City,Silver Membership,2015-06-16,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,13:29:30,6.0,100.83,24832.22,11.12949575190553,796.4018896614832,Yes,No,No,Not Applicable,Products always in Stock,2.0
30,M,City,Premium Membership,2016-06-21,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,05:04:25,3.0,163.46,43049.91,11.0,747.36,No,Yes,No,Not Applicable,Too many ads,3.0
29,M,Village,Silver Membership,2016-05-29,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,09:15:56,15.0,110.92,31707.47,29.0,714.5199559277089,Yes,No,Yes,No Information Available,Poor Customer Service,3.0
38,M,Town,No Membership,2015-01-25,No,Credit/Debit Card Offers,Desktop,Wi-Fi,18:40:32,22.0,89.07,8774.79,25.0,283.84757770094564,No,Yes,Yes,Unsolved,Poor Website,5.0
59,M,Town,Platinum Membership,2015-04-22,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,02:22:20,15.0,259.34,19036.86,11.0,314.84363586342687,Yes,Yes,No,Not Applicable,Poor Product Quality,3.0
35,F,Town,Silver Membership,2015-04-20,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16:14:54,22.0,56.3,31368.67,9.0,732.4,Yes,No,Yes,Solved in Follow-up,Too many ads,3.0
42,F,City,Silver Membership,2015-07-26,No,Without Offers,Smartphone,Mobile_Data,23:40:30,10.0,279.39,13819.06,20.0,789.04,No,Yes,Yes,Unsolved,Poor Website,3.0
23,F,Town,No Membership,2016-05-07,No,Credit/Debit Card Offers,Desktop,Wi-Fi,03:04:53,9.0,161.07,29663.77,7.0,701.53,No,Yes,Yes,No Information Available,Poor Customer Service,4.0
47,M,Town,Basic Membership,2016-09-03,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,23:40:40,13.0,56.86,19522.73,27.0,618.9061614640594,Yes,No,No,Not Applicable,Poor Product Quality,5.0
13,M,Town,Platinum Membership,2015-09-14,Yes,Without Offers,Desktop,Wi-Fi,15:56:13,17.0,675.35,44216.1,19.0,739.76,Yes,Yes,No,Not Applicable,Too many ads,3.0
57,M,Town,Silver Membership,2015-10-12,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,23:34:29,6.0,87.57,44268.63,10.0,749.87,Yes,No,Yes,No Information Available,Too many ads,3.0
29,M,Town,Premium Membership,2017-04-01,Yes,Without Offers,Both,Wi-Fi,08:36:32,9.0,222.9,3444.35,22.0,702.84,No,Yes,No,Not Applicable,No reason specified,3.0
41,M,Town,Basic Membership,2015-10-21,Yes,Without Offers,Smartphone,Mobile_Data,09:37:48,22.0,87.82,4967.46,23.0,637.19,No,Yes,No,Not Applicable,Too many ads,4.0
30,F,Village,No Membership,2015-09-23,Yes,Without Offers,Smartphone,Fiber_Optic,01:57:10,13.0,1385.1007124280402,16060.48,23.0,920.7467818739352,Yes,No,Yes,Solved,No reason specified,5.0
49,M,Town,Gold Membership,2016-08-04,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,14:57:19,9.0,58.75,34043.5,16.85501771426138,996.3933990699932,No,Yes,Yes,Solved,Poor Product Quality,3.0
20,F,City,Platinum Membership,2017-06-18,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,23:00:25,21.0,610.74,72744.19,12.170781487112317,761.46,Yes,Yes,No,Not Applicable,Quality Customer Care,1.0
59,F,Town,No Membership,2016-01-29,No,Without Offers,Desktop,Mobile_Data,15:45:33,15.0,206.58809147430233,6188.4,24.0,663.48,No,Yes,Yes,Unsolved,No reason specified,5.0
51,F,Town,Gold Membership,2016-03-15,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,08:04:26,17.0,48.63,34791.58,28.0,711.6389681243577,No,Yes,No,Not Applicable,Poor Customer Service,4.0
56,M,City,Platinum Membership,2015-05-01,No,Credit/Debit Card Offers,Desktop,Mobile_Data,15:11:53,6.0,106.98,86547.04,15.0,790.94,No,Yes,No,Not Applicable,Products always in Stock,2.0
57,M,Town,Silver Membership,2017-02-04,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,17:35:44,12.0,686.4048866916975,40659.19,18.0,210.69872518493912,Yes,Yes,No,Not Applicable,Quality Customer Care,2.0
57,M,City,Silver Membership,2016-12-14,Yes,Without Offers,Smartphone,Wi-Fi,18:55:20,13.0,210.86,7875.79,28.0,707.7968046982029,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,4.0
55,F,Town,Silver Membership,2017-07-04,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,12:22:09,4.0,658.6262023852787,1143.11,17.0,799.76,No,Yes,No,Not Applicable,Poor Website,3.0
55,M,City,Basic Membership,2015-01-13,No,Without Offers,Both,Mobile_Data,15:36:41,9.0,311.44,23667.37,24.0,150.86614041073568,Yes,No,Yes,No Information Available,Poor Product Quality,5.0
34,F,Town,No Membership,2015-02-07,Yes,Without Offers,Both,Mobile_Data,17:04:46,4.0,1306.8,9078.68,16.0,552.92,No,Yes,No,Not Applicable,Poor Product Quality,5.0
27,M,City,Platinum Membership,2017-03-28,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,11:28:45,19.0,52.59,82343.56,12.0,820.24,No,Yes,Yes,No Information Available,Reasonable Price,1.0
32,F,Village,Gold Membership,2017-01-24,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,01:06:32,10.0,34.81,54472.98,9.947360597591743,781.81,Yes,No,No,Not Applicable,User Friendly Website,1.0
14,F,Town,Basic Membership,2016-07-23,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,02:02:26,1.0,107.19,46583.36,26.0,584.62,Yes,No,No,Not Applicable,No reason specified,5.0
24,F,City,Silver Membership,2016-04-13,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,23:29:38,5.0,53.46,2163.89,5.0,710.9,Yes,No,No,Not Applicable,No reason specified,3.0
47,F,Town,Platinum Membership,2016-12-30,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:05:19,14.0,390.94,32749.15,14.0,1105.7460354439654,No,Yes,Yes,Unsolved,Poor Website,3.0
56,F,Village,Premium Membership,2015-03-27,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,23:06:58,14.0,33.78,18548.66,14.0,760.78,Yes,No,No,Not Applicable,Products always in Stock,1.0
39,M,Village,No Membership,2016-11-02,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:46:54,14.0,189.45,46564.27,28.0,573.68,No,Yes,No,Not Applicable,Poor Product Quality,5.0
13,M,Town,No Membership,2016-08-30,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,00:29:16,18.0,75.15,3915.76,27.0,636.35,No,Yes,Yes,Solved,No reason specified,4.0
32,M,Town,Platinum Membership,2015-08-10,No,Without Offers,Smartphone,Mobile_Data,11:44:06,11.0,389.17,2764.5,19.0,810.44,No,Yes,No,Not Applicable,User Friendly Website,1.0
57,M,Town,Gold Membership,2016-05-07,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,13:16:00,14.0,236.36,36484.42,38.00321796665355,752.85,No,Yes,Yes,No Information Available,No reason specified,3.0
31,F,Town,Basic Membership,2017-10-17,No,Without Offers,Desktop,Fiber_Optic,17:38:02,5.0,217.26,38789.32,26.0,653.96,Yes,No,Yes,Unsolved,Too many ads,5.0
58,M,City,No Membership,2016-02-11,No,Without Offers,Smartphone,Fiber_Optic,16:23:02,5.0,417.43,26070.75,10.0,598.0,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,5.0
15,F,Town,Silver Membership,2015-06-05,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10:54:42,8.0,83.16,14167.06,14.0,701.8,Yes,No,No,Not Applicable,No reason specified,3.0
61,M,City,No Membership,2015-06-13,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,13:36:29,16.0,30.97,29978.82,29.0,716.71,Yes,No,No,Not Applicable,No reason specified,4.0
41,F,Town,Basic Membership,2015-10-22,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,01:20:41,21.0,95.88,2443.24,14.0,686.98,Yes,No,Yes,Solved in Follow-up,Poor Website,5.0
11,M,City,No Membership,2016-12-05,Yes,Without Offers,Smartphone,Wi-Fi,13:51:24,20.0,150.82,45970.8,17.09502643791852,702.51,Yes,No,Yes,No Information Available,Too many ads,4.0
59,F,City,Gold Membership,2016-11-28,No,Without Offers,Desktop,Fiber_Optic,05:19:35,8.0,86.73,24372.53,26.0,639.26,No,Yes,Yes,Unsolved,Poor Product Quality,4.0
