age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,points_per_transaction,transaction_value_per_time_unit,last_visit_hour,last_visit_time_of_day,last_visit_AMPM,joining_day_name,is_weekend
20,F,Village,No Membership,2016-12-08,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:29:25,22.0,272.31,42743.44,12.0,687.26,Yes,No,No,Not Applicable,Poor Product Quality,5.0,0.01607872459493199,156.96610480702142,18,Evening,PM,Thursday,0
61,F,Village,Silver Membership,2017-05-14,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,07:48:25,17.0,201.72581244995283,29156.1,10.0,710.38,Yes,No,Yes,No Information Available,Poor Product Quality,4.0,0.02436471270163019,144.53331304457373,7,Morning,AM,Sunday,1
10,M,Town,Gold Membership,2016-01-12,No,Credit/Debit Card Offers,Desktop,Wi-Fi,10:16:14,4.0,127.37,15719.24,10.0,634.88,Yes,No,Yes,Unsolved,Poor Website,4.0,0.04038872108320758,123.41399073565204,10,Morning,AM,Tuesday,0
17,F,City,No Membership,2015-11-25,No,Without Offers,Desktop,Fiber_Optic,21:06:46,20.0,162.93,31100.95,11.0,633.05,No,Yes,Yes,Solved,Too many ads,5.0,0.020354683699372524,190.88534953661082,21,Night,PM,Wednesday,0
60,M,Town,No Membership,2016-11-02,Yes,Without Offers,Desktop,Fiber_Optic,20:03:13,18.0,498.09,48125.94,27.0,639.3562281650807,No,Yes,No,Not Applicable,Poor Product Quality,5.0,0.01328506473151653,96.62097211347348,20,Evening,PM,Wednesday,0
11,F,City,Gold Membership,2016-07-28,Yes,Without Offers,Desktop,Wi-Fi,09:36:43,10.0,185.53,60143.68,4.0,836.08,Yes,No,Yes,Solved in Follow-up,User Friendly Website,1.0,0.01390137750134345,324.17226324583623,9,Morning,AM,Thursday,0
60,M,City,Gold Membership,2017-07-02,Yes,Gift Vouchers/Coupons,Both,Fiber_Optic,02:31:33,11.0,537.25,1773.49,6.0,711.76,Yes,Yes,No,Not Applicable,Poor Product Quality,3.0,0.4013329649448263,3.3010516519311306,2,Night,AM,Sunday,1
12,M,City,Premium Membership,2015-03-02,No,Credit/Debit Card Offers,Desktop,Wi-Fi,21:45:25,8.0,198.26,26105.24,7.0,721.36,Yes,No,No,Not Applicable,Poor Customer Service,3.0,0.027632766448421848,131.67174417431656,21,Night,PM,Monday,0
52,M,Town,Silver Membership,2015-10-08,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,23:17:22,9.0,119.47,10101.48,28.0,158.54776452544024,Yes,No,No,Not Applicable,Poor Website,4.0,0.01569549853342681,84.55243994308194,23,Night,PM,Thursday,0
30,M,City,Basic Membership,2016-10-13,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:46:55,15.0,68.19,21111.9,23.0,574.01,Yes,Yes,Yes,Solved in Follow-up,Poor Customer Service,5.0,0.02718893136098598,309.6040475142983,22,Night,PM,Thursday,0
26,M,City,No Membership,2017-11-29,Yes,Without Offers,Desktop,Wi-Fi,14:55:59,3.0,215.89,41979.65,9.0,629.2551052674914,No,Yes,No,Not Applicable,Too many ads,5.0,0.014989527193949722,194.44925656584374,14,Afternoon,PM,Wednesday,0
26,F,Town,No Membership,2017-07-01,Yes,Without Offers,Desktop,Wi-Fi,04:16:41,20.0,194.85,5912.06,13.0,568.34,Yes,No,No,Not Applicable,Too many ads,5.0,0.09613231259493307,30.34159609956377,4,Night,AM,Saturday,1
49,F,Village,Platinum Membership,2017-06-09,Yes,Credit/Debit Card Offers,Both,Fiber_Optic,23:11:17,8.0,706.36,19062.25,15.098771933136822,780.58,Yes,No,No,Not Applicable,Poor Product Quality,3.0,0.04094899605240725,26.98659323857523,23,Night,PM,Friday,0
24,M,City,Premium Membership,2016-10-10,No,Without Offers,Desktop,Fiber_Optic,21:06:08,15.0,210.44,35531.98,25.0,745.49,Yes,No,No,Not Applicable,Poor Product Quality,3.0,0.020980817843531376,168.8461319140848,21,Night,PM,Monday,0
22,M,Town,No Membership,2017-06-02,Yes,Without Offers,Smartphone,Wi-Fi,00:22:50,4.0,299.1977391919972,8415.63,17.0,650.44,No,Yes,Yes,Solved in Follow-up,Too many ads,5.0,0.07728951962004034,28.12731814995311,0,Night,AM,Friday,0
33,F,Town,Premium Membership,2017-02-02,No,Credit/Debit Card Offers,Desktop,Wi-Fi,05:06:03,12.0,394.26,34697.85,19.0,752.3,Yes,No,Yes,No Information Available,Poor Website,3.0,0.021681458649455226,88.00753309998478,5,Morning,AM,Thursday,0
17,M,City,Platinum Membership,2015-12-20,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,01:51:39,6.0,348.07,94100.72,4.0,824.95,Yes,Yes,No,Not Applicable,User Friendly Website,1.0,0.008766670435677857,270.3499870715661,1,Night,AM,Sunday,1
36,M,Village,Silver Membership,2016-11-28,Yes,Gift Vouchers/Coupons,Both,Mobile_Data,06:06:05,2.0,691.09,17989.46,16.328260284565893,717.6621871787479,No,Yes,Yes,Solved,Poor Customer Service,4.0,0.03989348135957099,26.030560419048168,6,Morning,AM,Monday,0
12,M,City,Premium Membership,2017-02-13,No,Without Offers,Desktop,Mobile_Data,22:27:40,8.0,33.09,55607.35,9.814793967161908,785.3798215622533,Yes,No,No,Not Applicable,User Friendly Website,1.0,0.014123669291240336,1680.4880628588696,22,Night,PM,Monday,0
58,F,Village,Gold Membership,2017-11-09,No,Without Offers,Smartphone,Mobile_Data,21:21:14,11.0,30.78,48080.03,10.0,713.62,Yes,No,No,Not Applicable,Poor Product Quality,3.0,0.014842336828824774,1562.0542560103963,21,Night,PM,Thursday,0
41,M,Town,Platinum Membership,2016-11-20,No,Without Offers,Both,Fiber_Optic,23:21:15,13.0,282.87,27528.03,27.0,743.8,Yes,No,No,Not Applicable,Poor Website,3.0,0.02701973225109098,97.31689468660515,23,Night,PM,Sunday,1
30,M,City,Platinum Membership,2015-12-11,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14:13:01,20.0,100.42,86433.91,10.35002870621476,719.93,No,Yes,Yes,Unsolved,Reasonable Price,2.0,0.008329254108717283,860.7240589523999,14,Afternoon,PM,Friday,0
50,M,City,Premium Membership,2015-10-25,No,Credit/Debit Card Offers,Desktop,Wi-Fi,03:10:02,18.0,154.7,24197.4,29.0,741.0836650069912,No,Yes,Yes,Solved,Too many ads,3.0,0.030626582401703947,156.41499676793796,3,Night,AM,Sunday,1
38,M,Town,Gold Membership,2017-10-15,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12:05:44,8.0,324.75,28535.13,27.0,770.31,Yes,Yes,Yes,Solved,Poor Customer Service,3.0,0.026995145983214373,87.86799076212472,12,Afternoon,PM,Sunday,1
20,M,City,Silver Membership,2015-01-27,Yes,Without Offers,Desktop,Fiber_Optic,04:11:19,16.0,237.39,25000.09,16.0,704.4,No,Yes,No,Not Applicable,Poor Website,4.0,0.028175898566765157,105.31231307131725,4,Night,AM,Tuesday,0
35,F,Village,Gold Membership,2016-10-30,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,05:36:03,20.0,148.24,30984.56,11.0,729.04,Yes,No,No,Not Applicable,Poor Customer Service,3.0,0.02352913838376275,209.01618996222342,5,Morning,AM,Sunday,1
43,M,Town,Premium Membership,2017-04-26,Yes,Without Offers,Both,Wi-Fi,03:32:50,16.0,773.83,9091.94,20.0,700.4,No,Yes,No,Not Applicable,Poor Product Quality,3.0,0.0770352642010396,11.74927309615807,3,Night,AM,Wednesday,0
32,M,City,Silver Membership,2017-07-24,Yes,Without Offers,Smartphone,Fiber_Optic,02:35:02,13.0,117.68,19822.82,43.36004149963438,700.6263253861869,Yes,No,No,Not Applicable,Too many ads,3.0,0.0353444325976923,168.44680489462948,2,Night,AM,Monday,0
40,F,Town,Platinum Membership,2015-08-22,No,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,11:27:38,18.0,251.06,63416.63,12.0,1087.184702164714,No,Yes,Yes,Solved in Follow-up,Products always in Stock,2.0,0.017143526897672016,252.59551501633075,11,Morning,AM,Saturday,1
40,F,Town,Silver Membership,2017-08-21,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,02:12:51,13.0,46.57,24045.93,8.0,709.73,No,Yes,No,Not Applicable,Poor Product Quality,3.0,0.029515597857932716,516.3394889413786,2,Night,AM,Monday,0
48,F,Town,No Membership,2017-03-17,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,08:24:51,12.0,539.49,49270.76,12.0,503.95,Yes,No,No,Not Applicable,Too many ads,5.0,0.01022817589986434,91.32840275074608,8,Morning,AM,Friday,0
35,M,Town,Premium Membership,2015-05-11,No,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:20:14,12.0,34.48,48679.07,6.0,779.59,Yes,No,No,Not Applicable,Poor Product Quality,3.0,0.016014890999355574,1411.8059744779584,9,Morning,AM,Monday,0
28,M,Village,Gold Membership,2017-05-17,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,09:42:14,9.0,736.8282127461804,13131.05,13.0,820.91,Yes,Yes,No,Not Applicable,Quality Customer Care,1.0,0.06251670658477426,17.821046714620483,9,Morning,AM,Wednesday,0
44,F,Town,No Membership,2016-08-23,Yes,Without Offers,Both,Wi-Fi,22:22:17,13.0,283.49,7603.71,17.71698568034471,553.45,Yes,Yes,Yes,Unsolved,Poor Product Quality,5.0,0.07278683695196161,26.8217926558256,22,Night,PM,Tuesday,0
10,M,Town,Basic Membership,2015-06-08,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,11:07:18,12.0,31.67,25436.23,17.587220841952103,656.67,No,Yes,No,Not Applicable,Poor Website,4.0,0.025816325768402,803.1648247552888,11,Morning,AM,Monday,0
35,M,Town,No Membership,2017-11-27,Yes,Without Offers,Smartphone,Mobile_Data,22:34:23,4.0,157.03,22975.33,18.0,548.1,No,Yes,No,Not Applicable,Poor Website,5.0,0.02385602296027957,146.3117238744189,22,Night,PM,Monday,0
43,M,Town,No Membership,2015-04-06,No,Credit/Debit Card Offers,Desktop,Mobile_Data,13:41:04,11.0,227.23,29602.15,24.0,663.63,No,Yes,Yes,Unsolved,Poor Product Quality,4.0,0.022418304075886377,130.27395150288257,13,Afternoon,PM,Monday,0
28,M,Village,Basic Membership,2017-10-29,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:46:58,4.0,457.33,20883.28,14.0,634.6736585043135,No,Yes,No,Not Applicable,Too many ads,5.0,0.03039147387308476,45.66348151225592,12,Afternoon,PM,Sunday,1
53,M,Town,Platinum Membership,2017-01-27,No,Without Offers,Desktop,Fiber_Optic,12:50:50,6.0,228.02,46353.54,19.0,302.005898539957,Yes,No,Yes,No Information Available,Too many ads,3.0,0.0065152715097909885,203.2871677922989,12,Afternoon,PM,Friday,0
55,F,Town,Premium Membership,2017-09-03,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,22:22:34,18.0,42.77,8996.95,16.952477237305178,749.56,Yes,No,Yes,Unsolved,Poor Website,3.0,0.08331267818538503,210.35655833528173,22,Night,PM,Sunday,1
59,F,Town,No Membership,2017-06-08,Yes,Gift Vouchers/Coupons,Desktop,Fiber_Optic,10:53:03,20.0,207.52,12556.28,10.0,631.1231335060158,No,Yes,No,Not Applicable,Poor Product Quality,4.0,0.05026354409952755,60.506360832690824,10,Morning,AM,Thursday,0
39,M,City,No Membership,2016-12-01,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,04:04:47,13.0,98.57,2645.63,23.0,674.42,No,Yes,No,Not Applicable,Poor Product Quality,5.0,0.2549184882239769,26.840113624835144,4,Night,AM,Thursday,0
11,M,City,Gold Membership,2016-06-22,No,Credit/Debit Card Offers,Desktop,Wi-Fi,01:42:15,23.0,176.31,8983.02,25.0,707.46,No,Yes,Yes,Solved,Poor Product Quality,4.0,0.07875525157463749,50.95014463161477,1,Night,AM,Wednesday,0
37,M,Village,No Membership,2016-05-17,Yes,Without Offers,Both,Mobile_Data,03:29:16,17.0,687.16,29101.96,18.0,713.82,Yes,Yes,No,Not Applicable,Poor Customer Service,4.0,0.024528244832994067,42.3510681646196,3,Night,AM,Tuesday,0
53,M,City,No Membership,2017-04-06,No,Credit/Debit Card Offers,Desktop,Wi-Fi,06:24:30,13.0,253.96,19233.1,25.0,1032.199126230719,Yes,No,Yes,Solved,Poor Website,5.0,0.0536678500205749,75.73279256575837,6,Morning,AM,Thursday,0
57,M,Town,No Membership,2016-01-02,No,Without Offers,Desktop,Fiber_Optic,03:26:00,13.0,119.1,44341.82,17.581450352734368,563.92,Yes,No,Yes,No Information Available,Poor Customer Service,5.0,0.012717565494605317,372.30747271200676,3,Night,AM,Saturday,1
47,M,Town,Silver Membership,2015-07-22,No,Without Offers,Smartphone,Wi-Fi,17:26:06,10.0,131.86,26399.43,17.0,757.01,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,3.0,0.02867524033662848,200.2080236614591,17,Evening,PM,Wednesday,0
50,M,Town,Gold Membership,2015-01-21,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,18:29:15,19.0,65.39,17054.69,21.0,353.3690014856328,No,Yes,Yes,Solved,Poor Website,3.0,0.02071975518087006,260.814956415354,18,Evening,PM,Wednesday,0
49,F,City,Silver Membership,2016-08-25,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,10:39:05,3.0,74.9,41612.23,28.0,1196.5693152600402,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,4.0,0.028755231701354148,555.5704939919893,10,Morning,AM,Thursday,0
54,M,Town,Silver Membership,2017-06-21,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,04:30:27,20.0,189.164226514698,42060.89,24.0,684.69,Yes,No,Yes,No Information Available,Poor Website,4.0,0.016278542845859896,222.3511853956799,4,Night,AM,Wednesday,0
30,M,Village,Gold Membership,2016-09-17,No,Without Offers,Desktop,Fiber_Optic,10:45:58,9.0,97.74,32347.7,27.0,725.8758956570966,No,Yes,No,Not Applicable,Poor Customer Service,3.0,0.02243979929506879,330.95661960302846,10,Morning,AM,Saturday,1
25,F,City,Silver Membership,2015-08-20,Yes,Without Offers,Desktop,Mobile_Data,04:45:26,13.0,135.21,3561.26,17.0,711.2910919553209,Yes,No,Yes,Solved,Too many ads,3.0,0.19973017750889316,26.338732342282377,4,Night,AM,Thursday,0
53,F,City,Premium Membership,2015-04-02,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,21:35:56,18.0,172.99,9044.15,8.0,763.14,Yes,No,Yes,Solved in Follow-up,Products always in Stock,1.0,0.08437940547204546,52.281345742528465,21,Night,PM,Thursday,0
54,M,Town,Basic Membership,2015-08-07,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,19:26:54,13.0,254.72,11345.66,7.0,572.41,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,5.0,0.050451890855181626,44.54169283919598,19,Evening,PM,Friday,0
62,F,City,No Membership,2016-10-13,No,Without Offers,Both,Fiber_Optic,07:55:41,5.0,304.52,47658.52,29.0,699.19,No,Yes,Yes,Solved,Too many ads,4.0,0.014670829056378589,156.5037435964797,7,Morning,AM,Thursday,0
30,F,Town,No Membership,2017-11-13,No,Credit/Debit Card Offers,Desktop,Wi-Fi,08:37:37,13.0,264.54,40756.7,26.0,628.31,Yes,No,No,Not Applicable,Too many ads,5.0,0.015416115632521769,154.06630377258637,8,Morning,AM,Monday,0
30,M,City,Silver Membership,2017-06-03,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,02:48:44,12.0,191.41,25575.44,17.58279136211204,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,4.0,0.02536339550756507,133.6160075231179,2,Night,AM,Saturday,1
51,M,Town,Premium Membership,2015-12-10,Yes,Without Offers,Desktop,Wi-Fi,10:11:22,13.0,135.09,48819.9,8.0,751.0394569783431,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3.0,0.01538387946264419,361.3879635798357,10,Morning,AM,Thursday,0
29,M,Village,Silver Membership,2017-11-07,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,05:44:02,12.0,123.37,13032.52,6.0,706.0753884798614,Yes,No,No,Not Applicable,Poor Customer Service,4.0,0.054177963162907974,105.63767528572586,5,Morning,AM,Tuesday,0
16,M,City,Silver Membership,2017-11-06,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,06:48:52,9.0,355.31,20457.22,5.0,1233.7697272353937,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,3.0,0.06030974527503706,57.575694463989194,6,Morning,AM,Monday,0
25,F,Village,Gold Membership,2017-05-18,Yes,Without Offers,Smartphone,Mobile_Data,15:00:18,11.0,31.88,35414.54,20.0,788.67,No,Yes,No,Not Applicable,Poor Customer Service,3.0,0.0222696666397474,1110.870138017566,15,Afternoon,PM,Thursday,0
62,F,City,Basic Membership,2017-07-06,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,10:16:47,14.0,125.0,38802.24,28.0,636.0133673972775,No,Yes,Yes,Unsolved,Too many ads,4.0,0.01639115080462565,310.41792,10,Morning,AM,Thursday,0
24,F,Town,Premium Membership,2017-08-29,Yes,Without Offers,Desktop,Fiber_Optic,20:42:49,5.0,181.34,43554.96,1.0,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,2.0,0.0167303563130353,240.18396382485938,20,Evening,PM,Tuesday,0
48,M,City,No Membership,2015-03-27,Yes,Without Offers,Desktop,Mobile_Data,18:59:30,8.0,960.62,13954.02,17.0,631.15,No,Yes,Yes,Solved,Poor Customer Service,4.0,0.04523069337724899,14.526056088775999,18,Evening,PM,Friday,0
56,M,Village,Basic Membership,2017-08-22,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,18:27:08,24.0,48.59,28071.04,16.0,533.05,No,Yes,Yes,Solved,Poor Website,5.0,0.018989321378901528,577.7122864786993,18,Evening,PM,Tuesday,0
17,M,Town,Basic Membership,2016-12-28,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,13:52:30,12.0,30.12,15027.14,12.0,618.4906861772175,No,Yes,No,Not Applicable,Poor Customer Service,5.0,0.041158243430035095,498.9090305444887,13,Afternoon,PM,Wednesday,0
23,F,Town,Gold Membership,2016-08-04,Yes,Without Offers,Desktop,Wi-Fi,10:53:56,21.0,727.69,4919.72,13.0,758.83,Yes,Yes,No,Not Applicable,Too many ads,3.0,0.15424251786687046,6.760736027704104,10,Morning,AM,Thursday,0
42,F,City,No Membership,2016-06-23,No,Gift Vouchers/Coupons,Both,Fiber_Optic,12:35:00,3.0,419.51,14661.42,17.033412440492352,404.4897583720529,No,Yes,Yes,Solved in Follow-up,Poor Website,5.0,0.027588716398005985,34.94891659316822,12,Afternoon,PM,Thursday,0
18,M,Town,Basic Membership,2015-12-22,No,Credit/Debit Card Offers,Desktop,Mobile_Data,05:19:35,11.0,293.42,2521.3,16.916104898597883,964.8409708374116,Yes,No,Yes,No Information Available,Poor Customer Service,5.0,0.3826759889094561,8.5928021266444,5,Morning,AM,Tuesday,0
23,M,City,Gold Membership,2015-06-21,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,07:05:14,10.0,934.354219849904,11955.94,24.0,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,4.0,0.052760385214378785,12.795939426399359,7,Morning,AM,Sunday,1
52,F,City,Basic Membership,2017-11-13,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:27:36,4.0,826.51,14877.24,25.0,522.61,Yes,No,No,Not Applicable,Poor Customer Service,5.0,0.0351281554912067,18.000072594402972,20,Evening,PM,Monday,0
49,F,Town,Premium Membership,2016-09-02,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,16:09:53,21.0,115.41,41156.81,27.0,741.02,No,Yes,No,Not Applicable,Poor Customer Service,3.0,0.018004796776037793,356.61389827571264,16,Afternoon,PM,Friday,0
30,M,Town,Premium Membership,2017-05-14,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,01:07:51,7.0,481.45,4207.45,28.0,776.36,Yes,Yes,No,Not Applicable,Poor Customer Service,3.0,0.18452031515526032,8.739121404091806,1,Night,AM,Sunday,1
