age,gender,membership_category,joining_date,joined_through_referral,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,feedback,churn_risk_score,log_avg_time_spent,points_per_transaction,transaction_value_per_time_unit,last_visit_hour,region_category_Town,region_category_Village,preferred_offer_types_Gift Vouchers/Coupons,preferred_offer_types_Without Offers,medium_of_operation_Desktop,medium_of_operation_Smartphone,internet_option_Mobile_Data,internet_option_Wi-Fi,last_visit_time_of_day_Evening,last_visit_time_of_day_Morning,last_visit_time_of_day_Night,complaint_status_Not Applicable,complaint_status_Solved,complaint_status_Solved in Follow-up,complaint_status_Unsolved
25,0.0,1,2016-05-22,1.0,1900-01-01 05:57:20,14.0,6.347791930654598,35119.93,699.7,1.0,1.0,0.0,0,5.0,6.347791930654598,0.019923160439101105,5532.621482188116,5,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
60,1.0,3,2016-01-13,0.0,1900-01-01 11:56:11,14.0,4.0347714706872,41672.02,798.12,1.0,0.0,0.0,0,3.0,4.0347714706872,0.0191524192971687,10328.223123106012,11,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
11,1.0,0,2015-01-31,0.0,1900-01-01 04:42:50,13.0,3.7398101827824792,44007.18,608.26,1.0,0.0,1.0,0,4.0,3.7398101827824792,0.013821835436853712,11767.222893451226,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
34,1.0,1,2016-12-07,1.0,1900-01-01 08:35:05,10.0,4.508218659911641,21318.19,619.0961734853626,0.0,1.0,0.0,0,4.0,4.508218659911641,0.0290407475252525,4728.739133611107,8,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
40,1.0,5,2016-11-19,0.0,1900-01-01 21:01:43,20.0,4.620945105103454,14842.62,741.0387214410376,0.0,1.0,0.0,0,3.0,4.620945105103454,0.04992640931594541,3212.031232227266,21,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
16,0.0,1,2017-07-09,0.0,1900-01-01 13:48:22,13.0,3.4384931664058525,18792.31,141.5132013118415,1.0,0.0,1.0,0,5.0,3.4384931664058525,0.007530378187239434,5465.274784781092,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
57,0.0,0,2016-01-27,0.0,1900-01-01 20:58:28,5.0,5.8121584392744845,47241.32,627.7724211456303,1.0,1.0,1.0,0,5.0,5.8121584392744845,0.013288629977859009,8128.016552469791,20,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0
11,1.0,2,2017-01-02,1.0,1900-01-01 03:42:26,12.0,5.6208717693173975,29072.86,733.97,1.0,0.0,0.0,0,3.0,5.6208717693173975,0.02524588224206356,5172.304438379072,3,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
39,1.0,0,2017-11-01,0.0,1900-01-01 15:39:05,9.0,5.491990911678215,33170.16,551.11,1.0,0.0,1.0,1,5.0,5.491990911678215,0.016614631946303544,6039.733228521318,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,1.0,5,2016-02-03,0.0,1900-01-01 11:46:54,14.0,3.470412450683628,66982.61,164.80076897738957,1.0,0.0,1.0,2,2.0,3.470412450683628,0.00246035155956732,19301.05166226143,11,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
33,1.0,0,2015-12-03,0.0,1900-01-01 18:50:35,15.0,3.9290767599939738,44289.97,703.96,1.0,0.0,0.0,0,4.0,3.9290767599939738,0.015894343572596687,11272.360583779466,18,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0
30,1.0,0,2016-07-29,1.0,1900-01-01 08:55:48,21.0,3.445852022202587,49404.86,630.61,1.0,0.0,1.0,0,5.0,3.445852022202587,0.012764128873151346,14337.487414337787,8,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
19,0.0,4,2017-01-22,0.0,1900-01-01 23:04:40,15.0,6.18214688826681,52702.67,389.3564431980522,0.0,1.0,1.0,2,2.0,6.18214688826681,0.0073877935064400385,8524.978612207547,23,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
43,1.0,0,2015-08-14,0.0,1900-01-01 06:23:02,17.0,4.694096395182493,21725.57,225.0044276241277,0.0,1.0,0.0,0,4.0,4.694096395182493,0.010356663950548947,4628.275214436744,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
29,0.0,2,2016-04-09,0.0,1900-01-01 20:56:20,18.0,5.708371926990008,12069.06,777.31,0.0,1.0,0.0,0,3.0,5.708371926990008,0.06440518151372186,2114.27358875054,20,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
10,1.0,3,2015-11-10,1.0,1900-01-01 17:25:38,1.0,4.621535540074356,8515.5,757.7,1.0,0.0,0.0,1,3.0,4.621535540074356,0.08897892079149786,1842.5694071072737,17,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
20,0.0,0,2016-12-08,0.0,1900-01-01 18:29:25,22.0,5.610606682092659,42743.44,687.26,1.0,0.0,0.0,0,5.0,5.610606682092659,0.01607872459493199,7618.327646531345,18,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
61,0.0,2,2017-05-14,0.0,1900-01-01 07:48:25,17.0,5.164728829433656,29156.1,710.38,1.0,0.0,1.0,1,4.0,5.164728829433656,0.02436471270163019,5645.233460049275,7,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
10,1.0,3,2016-01-12,0.0,1900-01-01 10:16:14,4.0,4.854916719096835,15719.24,634.88,1.0,0.0,1.0,0,4.0,4.854916719096835,0.04038872108320758,3237.7980734804996,10,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
17,0.0,0,2015-11-25,1.0,1900-01-01 21:06:46,20.0,5.099439507438365,31100.95,633.05,0.0,1.0,1.0,0,5.0,5.099439507438365,0.020354683699372524,6098.895761903673,21,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
60,1.0,0,2016-11-02,1.0,1900-01-01 20:03:13,18.0,6.212786440209922,48125.94,622.6328835107196,0.0,1.0,0.0,0,5.0,6.212786440209922,0.01293757344813877,7746.2730230871875,20,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
11,0.0,3,2016-07-28,1.0,1900-01-01 09:36:43,10.0,5.228592084056471,60143.68,836.08,1.0,0.0,1.0,2,1.0,5.228592084056471,0.01390137750134345,11502.844175470473,9,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0
60,1.0,3,2017-07-02,1.0,1900-01-01 02:31:33,11.0,6.288323136244473,1773.49,711.76,1.0,1.0,0.0,0,3.0,6.288323136244473,0.4013329649448263,282.02908177189636,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
12,1.0,5,2015-03-02,0.0,1900-01-01 21:45:25,8.0,5.29461050461671,26105.24,721.36,1.0,0.0,0.0,0,3.0,5.29461050461671,0.027632766448421848,4930.530768455427,21,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
52,1.0,2,2015-10-08,0.0,1900-01-01 23:17:22,9.0,4.791400759278761,10101.48,158.54776452544024,1.0,0.0,0.0,0,4.0,4.791400759278761,0.01569549853342681,2108.2519512562235,23,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0
30,1.0,1,2016-10-13,1.0,1900-01-01 22:46:55,15.0,4.23685634351072,21111.9,574.01,1.0,1.0,1.0,0,5.0,4.23685634351072,0.02718893136098598,4982.916173765377,22,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0
26,1.0,0,2017-11-29,1.0,1900-01-01 14:55:59,3.0,5.379390312574516,41979.65,627.7724211456303,0.0,1.0,0.0,0,5.0,5.379390312574516,0.014954208078095704,7803.79328524853,14,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
26,0.0,0,2017-07-01,1.0,1900-01-01 04:16:41,20.0,5.27734906011184,5912.06,568.34,1.0,0.0,0.0,0,5.0,5.27734906011184,0.09613231259493307,1120.270789871669,4,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0
49,0.0,4,2017-06-09,1.0,1900-01-01 23:11:17,8.0,6.561539730077933,19062.25,780.58,1.0,0.0,0.0,0,3.0,6.561539730077933,0.04094899605240725,2905.1489107989587,23,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
24,1.0,5,2016-10-10,1.0,1900-01-01 21:06:08,15.0,5.353941270296033,35531.98,745.49,1.0,0.0,0.0,0,3.0,5.353941270296033,0.020980817843531376,6636.602496395211,21,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
22,1.0,0,2017-06-02,1.0,1900-01-01 00:22:50,4.0,5.164728829433656,8415.63,650.44,0.0,1.0,1.0,0,5.0,5.164728829433656,0.07728951962004034,1629.4427602935398,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
33,0.0,5,2017-02-02,0.0,1900-01-01 05:06:03,12.0,5.979543776212289,34697.85,752.3,1.0,0.0,1.0,0,3.0,5.979543776212289,0.021681458649455226,5802.758755280687,5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
17,1.0,4,2015-12-20,0.0,1900-01-01 01:51:39,6.0,5.855272475156242,94100.72,824.95,1.0,1.0,0.0,2,1.0,5.855272475156242,0.008766670435677857,16071.108628892462,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
36,1.0,2,2016-11-28,1.0,1900-01-01 06:06:05,2.0,6.539716004964355,17989.46,715.5749703899919,0.0,1.0,1.0,1,4.0,6.539716004964355,0.03977745693255895,2750.8014088599634,6,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
12,1.0,5,2017-02-13,0.0,1900-01-01 22:27:40,8.0,3.529004086149812,55607.35,767.3562210523255,1.0,0.0,0.0,2,1.0,3.529004086149812,0.01379954666158926,15757.23593470483,22,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
58,0.0,3,2017-11-09,0.0,1900-01-01 21:21:14,11.0,3.45883716110857,48080.03,713.62,1.0,0.0,0.0,0,3.0,3.45883716110857,0.014842336828824774,13900.634161276957,21,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
41,1.0,4,2016-11-20,0.0,1900-01-01 23:21:15,13.0,5.648516386884432,27528.03,743.8,1.0,0.0,0.0,0,3.0,5.648516386884432,0.02701973225109098,4873.497413217865,23,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
30,1.0,4,2015-12-11,1.0,1900-01-01 14:13:01,20.0,4.619270310366873,86433.91,719.93,0.0,1.0,1.0,2,2.0,4.619270310366873,0.008329254108717283,18711.5938649486,14,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
50,1.0,5,2015-10-25,0.0,1900-01-01 03:10:02,18.0,5.0479310788399525,24197.4,753.1715403441827,0.0,1.0,1.0,0,3.0,5.0479310788399525,0.031126135053525697,4793.528204343218,3,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
38,1.0,3,2017-10-15,0.0,1900-01-01 12:05:44,8.0,5.786130216004954,28535.13,770.31,1.0,1.0,1.0,0,3.0,5.786130216004954,0.026995145983214373,4931.643245958979,12,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
20,1.0,2,2015-01-27,1.0,1900-01-01 04:11:19,16.0,5.473907988002699,25000.09,704.4,0.0,1.0,0.0,0,4.0,5.473907988002699,0.028175898566765157,4567.13741896892,4,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
35,0.0,3,2016-10-30,0.0,1900-01-01 05:36:03,20.0,5.005555748352958,30984.56,729.04,1.0,0.0,0.0,0,3.0,5.005555748352958,0.02352913838376275,6190.0339458201515,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
43,1.0,5,2017-04-26,1.0,1900-01-01 03:32:50,16.0,6.652643650452846,9091.94,700.4,0.0,1.0,0.0,0,3.0,6.652643650452846,0.0770352642010396,1366.6657163248346,3,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
32,1.0,2,2017-07-24,1.0,1900-01-01 02:35:02,13.0,4.7764307954226215,19822.82,707.1781441831558,1.0,0.0,0.0,0,3.0,4.7764307954226215,0.0356749516054303,4150.132358035361,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
40,0.0,4,2015-08-22,1.0,1900-01-01 11:27:38,18.0,5.529667154409346,63416.63,1087.184702164714,0.0,1.0,1.0,2,2.0,5.529667154409346,0.017143526897672016,11468.435301649522,11,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
40,0.0,2,2017-08-21,1.0,1900-01-01 02:12:51,13.0,3.8622023104441903,24045.93,709.73,0.0,1.0,0.0,0,3.0,3.8622023104441903,0.029515597857932716,6225.963340909111,2,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0
48,0.0,0,2017-03-17,1.0,1900-01-01 08:24:51,12.0,6.2924761355205066,49270.76,503.95,1.0,0.0,0.0,0,5.0,6.2924761355205066,0.01022817589986434,7830.106771779498,8,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
35,1.0,5,2015-05-11,0.0,1900-01-01 09:20:14,12.0,3.5689691574413787,48679.07,779.59,1.0,0.0,0.0,0,3.0,3.5689691574413787,0.016014890999355574,13639.532271805452,9,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0
28,1.0,3,2017-05-17,1.0,1900-01-01 09:42:14,9.0,5.164728829433656,13131.05,820.91,1.0,1.0,0.0,2,1.0,5.164728829433656,0.06251670658477426,2542.4471320094262,9,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
44,0.0,0,2016-08-23,1.0,1900-01-01 22:22:17,13.0,5.650698103563745,7603.71,553.45,1.0,1.0,1.0,1,5.0,5.650698103563745,0.07278683695196161,1345.623117824069,22,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
10,1.0,1,2015-06-08,0.0,1900-01-01 11:07:18,12.0,3.4864572256129787,25436.23,656.67,0.0,1.0,0.0,0,4.0,3.4864572256129787,0.025816325768402,7295.724098702481,11,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
35,1.0,0,2017-11-27,1.0,1900-01-01 22:34:23,4.0,5.062784888421012,22975.33,548.1,0.0,1.0,0.0,0,5.0,5.062784888421012,0.02385602296027957,4538.081412968264,22,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0
43,1.0,0,2015-04-06,0.0,1900-01-01 13:41:04,11.0,5.430353892415786,29602.15,663.63,0.0,1.0,1.0,0,4.0,5.430353892415786,0.022418304075886377,5451.23772528773,13,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
28,1.0,1,2017-10-29,0.0,1900-01-01 12:46:58,4.0,6.127589448678843,20883.28,629.3405474360179,0.0,1.0,0.0,0,5.0,6.127589448678843,0.030136096793033373,3408.0742802543014,12,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
53,1.0,4,2017-01-27,0.0,1900-01-01 12:50:50,6.0,5.433809335985194,46353.54,302.005898539957,1.0,0.0,1.0,1,3.0,5.433809335985194,0.0065152715097909885,8530.579034679311,12,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55,0.0,5,2017-09-03,0.0,1900-01-01 22:22:34,18.0,3.778948651202804,8996.95,749.56,1.0,0.0,1.0,0,3.0,3.778948651202804,0.08331267818538503,2380.807687645175,22,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
59,0.0,0,2017-06-08,1.0,1900-01-01 10:53:03,13.0,5.3400349598999055,12556.28,624.671942836182,0.0,1.0,0.0,1,4.0,5.3400349598999055,0.04974976209802441,2351.34790208103,10,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
39,1.0,0,2016-12-01,0.0,1900-01-01 04:04:47,13.0,4.600860914399993,2645.63,674.42,0.0,1.0,0.0,0,5.0,4.600860914399993,0.2549184882239769,575.0293367312152,4,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0
11,1.0,3,2016-06-22,0.0,1900-01-01 01:42:15,23.0,5.177899613068897,8983.02,707.46,0.0,1.0,1.0,0,4.0,5.177899613068897,0.07875525157463749,1734.8772033600399,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
37,1.0,0,2016-05-17,1.0,1900-01-01 03:29:16,17.0,6.534021369035426,29101.96,713.82,1.0,1.0,0.0,0,4.0,6.534021369035426,0.024528244832994067,4453.91258405023,3,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0
53,1.0,0,2017-04-06,0.0,1900-01-01 06:24:30,13.0,5.541106670109081,19233.1,1032.199126230719,1.0,0.0,1.0,0,5.0,5.541106670109081,0.0536678500205749,3470.9853365124586,6,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
57,1.0,0,2016-01-02,0.0,1900-01-01 03:26:00,13.0,4.788324729085938,44341.82,563.92,1.0,0.0,1.0,0,5.0,4.788324729085938,0.012717565494605317,9260.403692057991,3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
47,1.0,2,2015-07-22,1.0,1900-01-01 17:26:06,10.0,4.889295942237095,26399.43,757.01,0.0,1.0,1.0,0,3.0,4.889295942237095,0.02867524033662848,5399.433847303781,17,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
50,1.0,3,2015-01-21,1.0,1900-01-01 18:29:15,19.0,4.195546442731068,17054.69,353.3690014856328,0.0,1.0,1.0,1,3.0,4.195546442731068,0.02071975518087006,4064.9508312672474,18,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
49,0.0,2,2016-08-25,1.0,1900-01-01 10:39:05,3.0,4.329416684401584,41612.23,1196.5693152600402,0.0,1.0,1.0,1,4.0,4.329416684401584,0.028755231701354148,9611.509594335037,10,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
54,1.0,2,2017-06-21,0.0,1900-01-01 04:30:27,20.0,5.164728829433656,42060.89,684.69,1.0,0.0,1.0,0,4.0,5.164728829433656,0.016278542845859896,8143.871902876309,4,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
30,1.0,3,2016-09-17,0.0,1900-01-01 10:45:58,9.0,4.592490132830717,32347.7,705.8344407329973,0.0,1.0,0.0,0,3.0,4.592490132830717,0.021820235773578875,7043.607947843655,10,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0
25,0.0,2,2015-08-20,0.0,1900-01-01 04:45:26,13.0,4.914197812459251,3561.26,707.1781441831558,1.0,0.0,1.0,0,3.0,4.914197812459251,0.1985752638625531,724.6879624932743,4,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
53,0.0,5,2015-04-02,0.0,1900-01-01 21:35:56,18.0,5.1589978262986245,9044.15,763.14,1.0,0.0,1.0,2,1.0,5.1589978262986245,0.08437940547204546,1753.0827312809351,21,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
54,1.0,1,2015-08-07,1.0,1900-01-01 19:26:54,13.0,5.544083095898526,11345.66,572.41,0.0,1.0,1.0,0,5.0,5.544083095898526,0.050451890855181626,2046.4447959651686,19,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
62,0.0,0,2016-10-13,0.0,1900-01-01 07:55:41,5.0,5.72201524291726,47658.52,699.19,0.0,1.0,1.0,0,4.0,5.72201524291726,0.014670829056378589,8328.974666572578,7,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
30,0.0,0,2017-11-13,1.0,1900-01-01 08:37:37,13.0,5.581765488467756,40756.7,628.31,1.0,0.0,0.0,0,5.0,5.581765488467756,0.015416115632521769,7301.757854966435,8,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
30,1.0,2,2017-06-03,0.0,1900-01-01 02:48:44,12.0,5.259628511932925,25575.44,648.68,0.0,1.0,1.0,0,4.0,5.259628511932925,0.02536339550756507,4862.594371822083,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
51,1.0,5,2015-12-10,1.0,1900-01-01 10:11:22,13.0,4.913316431572226,48819.9,744.7853338426962,1.0,0.0,1.0,0,3.0,4.913316431572226,0.015255773441623113,9936.241778830024,10,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0
29,1.0,2,2017-11-07,1.0,1900-01-01 05:44:02,12.0,4.82326099366565,13032.52,715.5749703899919,1.0,0.0,0.0,1,4.0,4.82326099366565,0.054906876827351264,2702.0142631956896,5,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
16,1.0,2,2017-11-06,0.0,1900-01-01 06:48:52,9.0,5.875801138454259,20457.22,1233.7697272353937,1.0,1.0,1.0,0,3.0,5.875801138454259,0.06030974527503706,3481.6052344109216,6,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
25,0.0,3,2017-05-18,1.0,1900-01-01 15:00:18,11.0,3.492864570187979,35414.54,788.67,0.0,1.0,0.0,1,3.0,3.492864570187979,0.0222696666397474,10139.110546188185,15,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
62,0.0,1,2017-07-06,0.0,1900-01-01 10:16:47,14.0,4.836281906951478,38802.24,622.8580458007144,0.0,1.0,1.0,1,4.0,4.836281906951478,0.016052115697462684,8023.155131678162,10,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
24,0.0,5,2017-08-29,1.0,1900-01-01 20:42:49,5.0,5.205873076156757,43554.96,728.69,1.0,0.0,1.0,2,2.0,5.205873076156757,0.0167303563130353,8366.504400478874,20,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
48,1.0,0,2015-03-27,1.0,1900-01-01 18:59:30,8.0,6.868619362233539,13954.02,631.15,0.0,1.0,1.0,0,4.0,6.868619362233539,0.04523069337724899,2031.5611135368592,18,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
56,1.0,1,2017-08-22,1.0,1900-01-01 18:27:08,24.0,3.9037892005010426,28071.04,533.05,0.0,1.0,1.0,0,5.0,3.9037892005010426,0.018989321378901528,7190.716137130854,18,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
17,1.0,1,2016-12-28,1.0,1900-01-01 13:52:30,12.0,3.4378506993101907,15027.14,622.8580458007144,0.0,1.0,0.0,1,5.0,3.4378506993101907,0.04144887488908165,4371.085691131152,13,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
23,0.0,3,2016-08-04,1.0,1900-01-01 10:53:56,21.0,6.591248401513596,4919.72,758.83,1.0,1.0,0.0,0,3.0,6.591248401513596,0.15424251786687046,746.4018498939062,10,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0
42,0.0,0,2016-06-23,0.0,1900-01-01 12:35:00,3.0,6.041468260343076,14661.42,404.4897583720529,0.0,1.0,1.0,1,5.0,6.041468260343076,0.027588716398005985,2426.797488325698,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,1.0,1,2015-12-22,0.0,1900-01-01 05:19:35,11.0,5.685007319329867,2521.3,964.8409708374116,1.0,0.0,1.0,0,5.0,5.685007319329867,0.3826759889094561,443.4998687560536,5,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
23,1.0,3,2015-06-21,1.0,1900-01-01 07:05:14,10.0,6.840925302304386,11955.94,630.8,0.0,1.0,1.0,0,4.0,6.840925302304386,0.052760385214378785,1747.7080177987918,7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
52,0.0,1,2017-11-13,1.0,1900-01-01 20:27:36,4.0,6.718421191770345,14877.24,522.61,1.0,0.0,0.0,0,5.0,6.718421191770345,0.0351281554912067,2214.39525378726,20,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
49,0.0,5,2016-09-02,1.0,1900-01-01 16:09:53,21.0,4.75711844226015,41156.81,741.02,0.0,1.0,0.0,0,3.0,4.75711844226015,0.018004796776037793,8651.62608405563,16,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
30,1.0,5,2017-05-14,0.0,1900-01-01 01:07:51,7.0,6.178877288466393,4207.45,776.36,1.0,1.0,0.0,0,3.0,6.178877288466393,0.18452031515526032,680.9408576301886,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0
31,0.0,1,2016-08-18,0.0,1900-01-01 10:40:33,14.0,5.010301905195018,2364.45,634.51,0.0,1.0,0.0,0,5.0,5.010301905195018,0.2683541627016854,471.917669781212,10,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
27,1.0,2,2016-10-23,0.0,1900-01-01 19:13:01,21.0,5.881789180298881,29825.45,665.63,0.0,1.0,1.0,0,4.0,5.881789180298881,0.02231751742220151,5070.812483368271,19,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
56,1.0,3,2016-04-24,0.0,1900-01-01 02:55:41,21.0,7.235066291812073,9454.17,778.27,1.0,0.0,0.0,0,3.0,7.235066291812073,0.08232028829606407,1306.7150484438944,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
